ciiu3_4c,ciiu3_letra,clae6,clae6_letra,propio,propio_letra,propio_letra_2,letra,desc
1544,D,107410,C,1544,D,D_15,D_15,Alimentos
1544,D,107420,C,1544,D,D_15,D_15,Alimentos
1549,D,107500,C,1549,D,D_15,D_15,Alimentos
1549,D,107911,C,1549,D,D_15,D_15,Alimentos
1549,D,107912,C,1549,D,D_15,D_15,Alimentos
1549,D,107920,C,1549,D,D_15,D_15,Alimentos
1549,D,107930,C,1549,D,D_15,D_15,Alimentos
1549,D,107991,C,1549,D,D_15,D_15,Alimentos
1549,D,107992,C,1549,D,D_15,D_15,Alimentos
1549,D,107999,C,1549,D,D_15,D_15,Alimentos
2429,D,201220,C,2429,D,D_24,D_24,Productos químicos
2429,D,202906,C,2429,D,D_24,D_24,Productos químicos
2429,D,202907,C,2429,D,D_24,D_24,Productos químicos
2429,D,202908,C,2429,D,D_24,D_24,Productos químicos
1533,D,108000,C,1533,D,D_15,D_15,Alimentos
1551,D,110100,C,1551,D,D_15,D_15,Alimentos
1551,D,201210,C,1551,D,D_15,D_15,Alimentos
1552,D,110211,C,1552,D,D_15,D_15,Alimentos
1552,D,110212,C,1552,D,D_15,D_15,Alimentos
1552,D,110290,C,1552,D,D_15,D_15,Alimentos
1553,D,110300,C,1553,D,D_15,D_15,Alimentos
1554,D,110411,C,1554,D,D_15,D_15,Alimentos
1554,D,110412,C,1554,D,D_15,D_15,Alimentos
1554,D,110420,C,1554,D,D_15,D_15,Alimentos
1554,D,110491,C,1554,D,D_15,D_15,Alimentos
1554,D,110492,C,1554,D,D_15,D_15,Alimentos
1600,D,120010,C,1600,D,D_16,D_16,Tabaco
1600,D,120091,C,1600,D,D_16,D_16,Tabaco
1600,D,120099,C,1600,D,D_16,D_16,Tabaco
1711,D,131110,C,1711,D,D_17,D_17,Productos textiles
1711,D,131120,C,1711,D,D_17,D_17,Productos textiles
1711,D,131131,C,1711,D,D_17,D_17,Productos textiles
1711,D,131132,C,1711,D,D_17,D_17,Productos textiles
1711,D,131139,C,1711,D,D_17,D_17,Productos textiles
1711,D,131201,C,1711,D,D_17,D_17,Productos textiles
1711,D,131202,C,1711,D,D_17,D_17,Productos textiles
1711,D,131209,C,1711,D,D_17,D_17,Productos textiles
1712,D,131300,C,1712,D,D_17,D_17,Productos textiles
1712,D,149000,C,1712,D,D_17,D_17,Productos textiles
1729,D,139900,C,1729,D,D_17,D_17,Productos textiles
1730,D,139100,C,1730,D,D_17,D_17,Productos textiles
1730,D,143010,C,1730,D,D_17,D_17,Productos textiles
1730,D,143020,C,1730,D,D_17,D_17,Productos textiles
1721,D,139201,C,1721,D,D_17,D_17,Productos textiles
1721,D,139202,C,1721,D,D_17,D_17,Productos textiles
1721,D,139203,C,1721,D,D_17,D_17,Productos textiles
1721,D,139204,C,1721,D,D_17,D_17,Productos textiles
1721,D,139209,C,1721,D,D_17,D_17,Productos textiles
1722,D,139300,C,1722,D,D_17,D_17,Productos textiles
1723,D,139400,C,1723,D,D_17,D_17,Productos textiles
1810,D,141110,C,1810,D,D_18,D_18,Confecciones
1810,D,141120,C,1810,D,D_18,D_18,Confecciones
1810,D,141130,C,1810,D,D_18,D_18,Confecciones
1810,D,141140,C,1810,D,D_18,D_18,Confecciones
1810,D,141191,C,1810,D,D_18,D_18,Confecciones
1810,D,141199,C,1810,D,D_18,D_18,Confecciones
1810,D,141201,C,1810,D,D_18,D_18,Confecciones
1810,D,141202,C,1810,D,D_18,D_18,Confecciones
1820,D,142000,C,1820,D,D_18,D_18,Confecciones
1911,D,151100,C,1911,D,D_19,D_19,Cuero
1912,D,151200,C,1912,D,D_19,D_19,Cuero
1920,D,152011,C,1920,D,D_19,D_19,Cuero
1920,D,152021,C,1920,D,D_19,D_19,Cuero
1920,D,152031,C,1920,D,D_19,D_19,Cuero
1920,D,152040,C,1920,D,D_19,D_19,Cuero
2010,D,161001,C,2010,D,D_20,D_20,Madera
2010,D,161002,C,2010,D,D_20,D_20,Madera
2021,D,162100,C,2021,D,D_20,D_20,Madera
2022,D,162201,C,2022,D,D_20,D_20,Madera
2022,D,162202,C,2022,D,D_20,D_20,Madera
2023,D,162300,C,2023,D,D_20,D_20,Madera
2029,D,162901,C,2029,D,D_20,D_20,Madera
2029,D,162902,C,2029,D,D_20,D_20,Madera
2029,D,162903,C,2029,D,D_20,D_20,Madera
2029,D,162909,C,2029,D,D_20,D_20,Madera
