hs6_d12,A,B,C,CONS,D_15,D_16,D_17,D_18,D_19,D_20,D_21,D_22,D_23,D_24,D_25,D_26,D_27,D_28,D_29,D_29_30_31_32_33,D_30,D_31,D_32,D_33,D_34,D_35,D_36,D_37,E,F,G,H_551,H_552,I_60,I_61,I_62,I_63,I_64,J,K_70,K_71,K_72,K_73,K_74,K_99,L,M,N,O,P
39205900000E,0.0,0.0,0.0,26218.481339086862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18501.575899347452,0.0,0.00028208521943466684,99179.83945882882,0.0,0.0,0.0,3957.7789492596544,0.012478770940470002,0.0,0.0,0.0,0.0,3.985534912485534e-09,0.0,0.0,0.0,0.0,0.31608346878152904,72562.7049999994,0.0,0.0,666.8804417937106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.735516141524081e-05,0.0,0.0,0.0,0.0,0.0,0.0
39219019900Z,1777.3407647146203,0.0,5.3609291515237885e-25,730329.3013006045,0.03588756700718904,3.6405226692235245e-10,6759.852540221815,0.04080897506886469,244164.499038731,29153.935256956393,70973.89868566162,108.75233060767856,0.0,162595.63043057593,103822.67440911602,6.053942931163317e-17,0.0,0.02925723150110664,592.9197163756982,0.0,0.004474951932772882,43046.47558217445,0.0,8.905471409858e-16,16045.35765841701,1.2448818448911178e-11,160268.2245566073,4.310239699487781e-24,85194.68277208228,7.705221168251873e-16,3929461.367943421,0.0,0.0,17.777695756097327,0.0,0.0,15089.398656769856,0.0,85194.68277208228,4.931948685729146e-10,0.9427844545842897,2.3162074091683435e-12,0.0,1025.0246759045742,5.3609291515237885e-25,0.0,0.0,0.0,3.8425613677099426e-08,0.0
39219090300B,195959.6792032617,0.0,0.0,459410.9780221877,0.0,0.0,0.0,0.0,0.0,0.43640332192973036,2.5886773223360983e-05,155.41348509176387,0.0,2.974431036826294e-07,0.7203351466777599,0.0,0.0,0.00601834616084087,11381.852041035256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4304145167759689,0.0,30.19788698177433,1.33207062766069e-05,246380.81989071958,0.0,0.0,0.0,0.0,0.0,2342.5112409095896,0.0,0.0,0.2751551783056595,0.32286488527247775,0.0,0.0,11802.007814306417,0.0,0.0,0.0,0.0,12.309184606115661,0.0
39219090900J,0.0,0.0,0.0,314.25808860430595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028732172036649004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.199894271398025,0.0,0.0,0.0,0.0,0.0,0.00042387614319114216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.112861076116204,0.0
39231090110T,101149.84142449709,6823.629535056808,3.085363992288442e-11,129120.85178309167,33.641190497899125,3.091039188269875e-07,0.0,0.0,225.33019903175511,0.0,0.0,0.0,0.0,0.00022758940014997066,147796.540584089,0.0,0.0,3.085363992288442e-11,115562.9881242431,0.0,0.0,0.0,0.0,7.912487493267577e-05,20721.06814953122,1.4736819648126296e-06,1.9277373596311502e-07,4.069319492870152e-05,0.0,4.728266254444876e-06,87743.01784145494,0.0,1.7256192680628505e-06,8.417862517457e-06,0.0,0.0,7.699850001984035e-10,150531.26814173543,5.279690382456856e-12,0.0,9.833297686778726e-14,2803.609044432618,0.17530078005422145,10967.079911504396,0.0,0.0,0.0,0.0,0.028405798397743504,0.0
39231090120W,298476.85502706503,0.0,2.7946935010952085e-19,2633634.706969497,171927.6861589218,0.0,4.6956544143118775e-09,0.0,0.0,8.591254633270436e-17,49266.77192250891,3.1761579717150304e-18,0.0,6.126195411943374e-06,36140.87364361249,0.0,0.009523679579152473,5.660086997378506e-14,17.84031725454289,4.803652031264124e-29,0.0,5.445321072277198e-11,2.2509923106797096e-06,19151.6909915684,670244.9473089026,119.79487927489096,42597.70401673088,1.1024798580655965e-17,0.0,2.0360081367256343e-13,2264142.67096942,0.0,1.1167120143360346e-14,2.151408393093873e-08,0.0,0.0,0.0,0.0,686042.8770995092,17446.291506393423,2.5023869668975823e-07,0.0,1.4268402208046642e-06,280043.5633461796,0.0,0.0,0.0,40.79634404471761,0.15996535646608037,0.0
39231090130Z,38530.845488090294,0.0,0.0,390983.02110481396,880719.37029025,0.0,0.0,0.0,3.1761816366454805e-17,3.0561485622687354e-11,0.0,0.0,0.0,593969.3170232724,69531.79418657982,0.0,0.0,0.0,6.798141871424647e-07,0.0,4.957979359497072e-13,0.0,2.041328060368588e-11,2.1518541792476242e-05,1803.1386292438856,0.0,2.30648306576025e-05,0.0,0.0,0.0,641488.2404379535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4146946154665923e-09,2.027516371634836e-09,0.0,0.0,4637.380291895751,13029.85328985461,0.0,545841.4280299004,17364.511770727033,0.0,421.7494121521232,0.0
39231090190U,114639.90509750223,0.0,42.705587618481076,420885.68811601715,36617.49721991707,0.0004729036203868466,8.445085719907516e-12,7.174040157244159e-16,5.7874630572708095e-12,2.49471870008058e-17,1.4563167161789577e-16,0.0,0.009661748203857946,155086.31779037794,2.1042496935403786e-09,0.0,0.0,114.02670849738415,3057.3265690034063,0.0,1.9048840684343164e-17,0.0091484810571977,7.4427357612799846e-06,27084.391593867866,31474.045576126635,0.13302316735670044,0.19755421911520157,3.8826172712059136e-05,1.3817502065762664e-05,13.515788054422659,646636.5041701024,0.0,1.71621281748295e-21,776.5354417892001,9.215383212898233e-15,0.00018268115400449811,8869.974518172523,148.28336229881504,511.0309290814798,12.3511158742352,5.419268568906505e-09,3.80393620870697e-05,67959.65348505863,378011.6402537822,0.0,0.000551242363766769,53077.560572319926,75893.2117998376,3.0736121241865844,0.0
39231090290Z,139180.41654969868,0.0,0.0,0.0,229448.36714347726,0.0,35543.071686182724,0.0,0.0,0.0,1147.179582883271,0.0,0.0,1976.5555283588762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110474.26543796012,0.0,0.0,0.0,0.0,0.0,839.9102479739836,0.0,0.0,0.0,0.0,0.0,0.003575491150617592,839.9102479739836,0.0,0.0,0.0,0.0,0.0,0.0
39232110119K,0.0,0.0,0.0,89.6789361337516,0.0,0.0,0.0,0.0,8.74225269886622e-12,0.0,0.0,0.0,0.0,4.330925855719012,6541.486654103227,0.0,0.0,0.0,0.0,0.0,0.0,847.0828701208748,62872.36186169179,193.6154965241464,0.0,0.0,0.0,0.0,0.0,0.0,426.0498502140092,0.0,0.0,0.0,0.0,239.66800952861817,0.0,0.007686922078062113,0.0,0.0,0.0,0.0077089057764415155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
