HS,HS4,HS4Desc,HS6,HS6Desc,BEC5Code1,BEC5Code2,BEC5Category,BEC5EndUse,BEC5Processing,BEC5Specification,BEC5Durability,i3,i31Desc,standesci3,i4,i4Desc,standesci4,GTAP,GTAPcode,GTAPdesc,CPC1,CPCdesc,BEC4Code,BEC4ENDUSE,BEC4INT,BEC4CONS,BEC4CAP,AddedByUNSD,NoteByUNSD
H5,0203,"Meat of swine; fresh, chilled or frozen",020329,"Meat; of swine, n.e.c. in item no. 0203.2, frozen",113101,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",CONS,PRIMARY,,NON-DURABLE,1511,"Production, processing and preserving of meat and meat products",C15,1010,Processing and preserving of meat,D10,20,omt,"Meat products nec,",21114,Meat of swine  frozen,122,CONS,0,1,0,1,1To1 WITH H4
H5,0204,"Meat of sheep or goats; fresh, chilled or frozen",020410,"Meat; of sheep, lamb carcasses and half-carcasses, fresh or chilled",111210,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",INT,PROCESSED,GENERIC,,1511,"Production, processing and preserving of meat and meat products",C15,1010,Processing and preserving of meat,D10,19,cmt,"Bovine cattle sheep and goat horse meat prods,",21115,Meat of sheep  fresh or chilled,121,INT,1,0,0,1,1To1 WITH H4
H5,0204,"Meat of sheep or goats; fresh, chilled or frozen",020421,"Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), fresh or chilled",111210,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",INT,PROCESSED,GENERIC,,1511,"Production, processing and preserving of meat and meat products",C15,1010,Processing and preserving of meat,D10,19,cmt,"Bovine cattle sheep and goat horse meat prods,",21115,Meat of sheep  fresh or chilled,121,INT,1,0,0,1,1To1 WITH H4
H5,0204,"Meat of sheep or goats; fresh, chilled or frozen",020422,"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",113101,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",CONS,PRIMARY,,NON-DURABLE,1511,"Production, processing and preserving of meat and meat products",C15,1010,Processing and preserving of meat,D10,19,cmt,"Bovine cattle sheep and goat horse meat prods,",21115,Meat of sheep  fresh or chilled,122,CONS,0,1,0,1,1To1 WITH H4
H5,0204,"Meat of sheep or goats; fresh, chilled or frozen",020423,"Meat; of sheep (including lamb), boneless cuts, fresh or chilled",113101,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",CONS,PRIMARY,,NON-DURABLE,1511,"Production, processing and preserving of meat and meat products",C15,1010,Processing and preserving of meat,D10,19,cmt,"Bovine cattle sheep and goat horse meat prods,",21115,Meat of sheep  fresh or chilled,122,CONS,0,1,0,1,1To1 WITH H4
H5,0204,"Meat of sheep or goats; fresh, chilled or frozen",020430,"Meat; of sheep, lamb carcasses and half-carcasses, frozen",111210,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",INT,PROCESSED,GENERIC,,1511,"Production, processing and preserving of meat and meat products",C15,1010,Processing and preserving of meat,D10,19,cmt,"Bovine cattle sheep and goat horse meat prods,",21116,Meat of sheep  frozen,121,INT,1,0,0,1,1To1 WITH H4
H5,0204,"Meat of sheep or goats; fresh, chilled or frozen",020441,"Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), frozen",111210,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",INT,PROCESSED,GENERIC,,1511,"Production, processing and preserving of meat and meat products",C15,1010,Processing and preserving of meat,D10,19,cmt,"Bovine cattle sheep and goat horse meat prods,",21116,Meat of sheep  frozen,121,INT,1,0,0,1,1To1 WITH H4
H5,0204,"Meat of sheep or goats; fresh, chilled or frozen",020442,"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), frozen",113101,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",CONS,PRIMARY,,NON-DURABLE,1511,"Production, processing and preserving of meat and meat products",C15,1010,Processing and preserving of meat,D10,19,cmt,"Bovine cattle sheep and goat horse meat prods,",21116,Meat of sheep  frozen,122,CONS,0,1,0,1,1To1 WITH H4
H5,0204,"Meat of sheep or goats; fresh, chilled or frozen",020443,"Meat; of sheep (including lamb), boneless cuts, frozen",113101,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",CONS,PRIMARY,,NON-DURABLE,1511,"Production, processing and preserving of meat and meat products",C15,1010,Processing and preserving of meat,D10,19,cmt,"Bovine cattle sheep and goat horse meat prods,",21116,Meat of sheep  frozen,122,CONS,0,1,0,1,1To1 WITH H4
H5,0204,"Meat of sheep or goats; fresh, chilled or frozen",020450,"Meat; of goats, fresh, chilled or frozen",113101,,"1.Agriculture, forestry, fishing, food, beverages, tobacco ",CONS,PRIMARY,,NON-DURABLE,1511,"Production, processing and preserving of meat and meat products",C15,1010,Processing and preserving of meat,D10,19,cmt,"Bovine cattle sheep and goat horse meat prods,",21117,Meat of goats  fresh  chilled or frozen,122,CONS,0,1,0,1,1To1 WITH H4
